Date,Open,High,Low,Last,Volume,Open Interest
2014-10-08,,552.0,552.0,552.0,0.0,0.0
2014-10-07,,553.0,553.0,553.0,0.0,0.0
2014-10-06,,538.0,538.0,538.0,0.0,0.0
2014-10-03,,531.0,531.0,531.0,0.0,0.0
2014-10-02,,525.0,525.0,525.0,0.0,0.0
2014-10-01,,522.0,522.0,522.0,0.0,0.0
2014-09-30,,522.0,522.0,522.0,0.0,0.0
2014-09-29,,525.0,525.0,525.0,0.0,0.0
2014-09-26,,522.0,522.0,522.0,0.0,0.0
2014-09-25,,522.0,522.0,522.0,0.0,0.0
2014-09-24,,522.0,522.0,522.0,0.0,0.0
2014-09-23,,520.0,520.0,520.0,0.0,0.0
2014-09-22,,520.0,520.0,520.0,0.0,0.0
2014-09-19,,521.0,521.0,521.0,0.0,0.0
2014-09-18,,531.0,531.0,531.0,0.0,0.0
2014-09-17,,543.0,543.0,543.0,0.0,0.0
2014-09-16,,545.0,545.0,545.0,0.0,0.0
2014-09-15,,546.0,546.0,546.0,0.0,0.0
2014-09-12,,553.0,553.0,553.0,0.0,0.0
2014-09-11,,566.0,566.0,566.0,0.0,0.0
2014-09-10,,577.0,577.0,577.0,0.0,0.0
2014-09-09,,583.0,583.0,583.0,0.0,0.0
2014-09-08,,587.0,587.0,587.0,0.0,0.0
2014-09-05,,587.0,587.0,587.0,0.0,0.0
2014-09-04,,581.0,581.0,581.0,0.0,0.0
2014-09-03,,579.0,579.0,579.0,0.0,0.0
2014-09-02,,592.0,592.0,592.0,0.0,0.0
2014-08-29,,601.0,601.0,601.0,0.0,0.0
2014-08-28,,596.0,596.0,596.0,0.0,0.0
2014-08-27,,591.0,591.0,591.0,0.0,0.0
2014-08-26,,586.0,586.0,586.0,0.0,0.0
2014-08-25,,588.0,588.0,588.0,0.0,0.0
2014-08-22,,595.0,595.0,595.0,0.0,0.0
2014-08-21,,586.0,586.0,586.0,0.0,0.0
2014-08-20,,584.0,584.0,584.0,0.0,0.0
2014-08-19,,587.0,587.0,587.0,0.0,0.0
2014-08-18,,582.0,582.0,582.0,0.0,0.0
2014-08-15,,584.0,584.0,584.0,0.0,0.0
2014-08-14,,576.0,576.0,576.0,0.0,0.0
2014-08-13,,575.0,575.0,575.0,0.0,0.0
2014-08-12,,583.0,583.0,583.0,0.0,0.0
2014-08-11,,594.0,594.0,594.0,0.0,0.0
2014-08-08,,599.0,599.0,599.0,0.0,0.0
2014-08-07,,613.0,613.0,613.0,0.0,0.0
2014-08-06,,621.0,621.0,621.0,0.0,0.0
2014-08-05,,610.0,610.0,610.0,0.0,0.0
2014-08-04,,607.0,607.0,607.0,0.0,0.0
2014-08-01,,604.0,604.0,604.0,0.0,0.0
2014-07-31,,599.0,599.0,599.0,0.0,0.0
2014-07-30,,589.0,589.0,589.0,0.0,0.0
2014-07-29,,587.0,587.0,587.0,0.0,0.0
2014-07-28,,598.0,598.0,598.0,0.0,0.0
2014-07-25,,605.0,605.0,605.0,0.0,0.0
2014-07-24,,601.0,601.0,601.0,0.0,0.0
2014-07-23,,605.0,605.0,605.0,0.0,0.0
2014-07-22,,603.0,603.0,603.0,0.0,0.0
2014-07-21,,610.0,610.0,610.0,0.0,0.0
2014-07-18,,616.0,616.0,616.0,0.0,0.0
2014-07-17,,629.0,629.0,629.0,0.0,0.0
2014-07-16,,618.0,618.0,618.0,0.0,0.0
2014-07-15,,620.0,620.0,620.0,0.0,0.0
2014-07-14,,628.0,628.0,628.0,0.0,0.0
2014-07-11,,623.0,623.0,623.0,0.0,0.0
2014-07-10,,635.0,635.0,635.0,0.0,0.0
2014-07-09,,642.0,642.0,642.0,0.0,0.0
2014-07-08,,654.0,654.0,654.0,0.0,0.0
2014-07-07,,661.0,661.0,661.0,0.0,0.0
2014-07-03,,677.0,677.0,677.0,0.0,0.0
2014-07-02,,672.0,672.0,672.0,0.0,0.0
2014-07-01,,680.0,680.0,680.0,0.0,0.0
2014-06-30,,688.0,688.0,688.0,0.0,0.0
2014-06-27,,699.0,699.0,699.0,0.0,0.0
2014-06-26,,691.0,691.0,691.0,0.0,0.0
2014-06-25,,689.0,689.0,689.0,0.0,0.0
2014-06-24,,682.0,682.0,682.0,0.0,0.0
2014-06-23,,689.0,689.0,689.0,0.0,0.0
2014-06-20,,692.0,692.0,692.0,0.0,0.0
2014-06-19,,697.0,697.0,697.0,0.0,0.0
2014-06-18,,696.0,696.0,696.0,0.0,0.0
2014-06-17,,685.0,685.0,685.0,0.0,0.0
2014-06-16,,681.0,681.0,681.0,0.0,0.0
2014-06-13,,686.0,686.0,686.0,0.0,0.0
2014-06-12,,682.0,682.0,682.0,0.0,0.0
2014-06-11,,681.0,681.0,681.0,0.0,0.0
2014-06-10,,698.0,698.0,698.0,0.0,0.0
2014-06-09,,704.0,704.0,704.0,0.0,0.0
2014-06-06,,704.0,704.0,704.0,0.0,0.0
2014-06-05,,687.0,687.0,687.0,0.0,0.0
2014-06-04,,687.0,687.0,687.0,0.0,0.0
2014-06-03,,684.0,684.0,684.0,0.0,0.0
2014-06-02,,696.0,696.0,696.0,0.0,0.0
2014-05-30,,702.0,702.0,702.0,0.0,0.0
2014-05-29,,705.0,705.0,705.0,0.0,0.0
2014-05-28,,710.0,710.0,710.0,0.0,0.0
2014-05-27,,713.0,713.0,713.0,0.0,0.0
2014-05-23,,720.0,720.0,720.0,0.0,0.0
2014-05-22,,727.0,727.0,727.0,0.0,0.0
2014-05-21,,739.0,739.0,739.0,0.0,0.0
2014-05-20,,746.0,746.0,746.0,0.0,0.0
2014-05-19,,747.0,747.0,747.0,0.0,0.0
2014-05-16,,746.0,746.0,746.0,0.0,0.0
